language_group,target,positive,negative,uncertain,unknown,pairs,resolved,resolved_rate,language_coverage_rank,target_coverage_rank
spanish,PF OA,84,184,0,410,678,268,0.3952802359882006,7,6
spanish,Baker's,88,251,5,334,678,339,0.5,7,7
spanish,MCL,28,278,0,372,678,306,0.45132743362831856,7,8
spanish,ACL,47,293,1,337,678,340,0.5014749262536873,7,9
spanish,Lateral Meniscus,123,252,2,301,678,375,0.5530973451327433,7,10
spanish,Medial Meniscus,230,220,6,222,678,450,0.6637168141592921,7,11
spanish,Effusion,282,171,0,225,678,453,0.668141592920354,7,12
latin_other,Synovitis,2,2,0,18,22,4,0.18181818181818182,8,1
latin_other,Contusion,0,0,0,22,22,0,0.0,8,2
latin_other,Fracture,1,3,0,18,22,4,0.18181818181818182,8,3
latin_other,Lateral OA,2,4,0,16,22,6,0.2727272727272727,8,4
latin_other,Medial OA,2,4,0,16,22,6,0.2727272727272727,8,5
latin_other,PF OA,3,4,0,15,22,7,0.3181818181818182,8,6
latin_other,Baker's,2,8,0,12,22,10,0.45454545454545453,8,7
latin_other,MCL,3,14,0,5,22,17,0.7727272727272727,8,8
latin_other,ACL,3,15,0,4,22,18,0.8181818181818182,8,9
latin_other,Lateral Meniscus,1,17,0,4,22,18,0.8181818181818182,8,10
latin_other,Medial Meniscus,1,13,0,8,22,14,0.6363636363636364,8,11
latin_other,Effusion,15,2,0,5,22,17,0.7727272727272727,8,12
french,Synovitis,9,0,0,71,80,9,0.1125,9,1
french,Contusion,6,1,0,73,80,7,0.0875,9,2
french,Fracture,7,27,0,46,80,34,0.425,9,3
french,Lateral OA,9,4,0,67,80,13,0.1625,9,4
french,Medial OA,13,4,0,63,80,17,0.2125,9,5
french,PF OA,14,13,0,53,80,27,0.3375,9,6
french,Baker's,33,46,0,1,80,79,0.9875,9,7
french,MCL,5,33,0,42,80,38,0.475,9,8
french,ACL,9,47,1,23,80,56,0.7,9,9
french,Lateral Meniscus,12,53,0,15,80,65,0.8125,9,10
french,Medial Meniscus,34,28,1,17,80,62,0.775,9,11
french,Effusion,79,0,0,1,80,79,0.9875,9,12
english,Synovitis,294,14,8,1408,1724,308,0.17865429234338748,10,1
english,Contusion,158,405,11,1150,1724,563,0.3265661252900232,10,2
english,Fracture,95,478,31,1120,1724,573,0.3323665893271462,10,3
english,Lateral OA,219,438,0,1067,1724,657,0.3810904872389791,10,4
english,Medial OA,281,344,0,1099,1724,625,0.3625290023201856,10,5
english,PF OA,414,554,1,755,1724,968,0.5614849187935035,10,6
english,Baker's,390,314,3,1017,1724,704,0.40835266821345706,10,7
english,MCL,230,820,15,659,1724,1050,0.6090487238979119,10,8
english,ACL,423,1013,14,274,1724,1436,0.8329466357308585,10,9
english,Lateral Meniscus,335,990,46,353,1724,1325,0.7685614849187935,10,10
english,Medial Meniscus,755,607,32,330,1724,1362,0.7900232018561485,10,11
english,Effusion,1024,412,3,285,1724,1436,0.8329466357308585,10,12
